,,,queries,,,,,,,,,,,,,,,,,
Dataset,Source,Tool,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,q15,q16,q17,q18
GTFS-1,SQL,Ontario,176830,-,- ,-,-,-,-,0,-,-,-,-,-,0,-,-,-,-
,,Morph-RDB,176830,3161,- ,65,350,1,62,-,-,1,-,65,1325,11170,4949,-,4275,-
,,Ontop,176830,3161,2104,-,0,-,0,-,0,-,-,-,1325,11170,4828,0,4275,0
,MongoDB,Morph-xR2RML,0,0,0,0,0,0,0,0,0,0,643,0,0,6593,0,0,3357,0
,CSV,Morph-RDB,176830,3161,-,65,-,1,-,-,-,1,-,-,1325,0,0,-,4275,-
,,Morph-CSV,176830,6310,-,65,-,1,0,-,-,1,-,65,1325,-,-,-,4275,0
,,Ontario,0,-,2104,-,-,-,-,0,-,-,-,-,-,0,-,-,-,-
,XML,Ontario,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,JSON,Ontario,0,-,2104,-,-,-,-,0,-,-,-,-,-,0,-,-,-,-
,Best,Ontario,0,-,2104,-,-,-,-,0,-,-,-,-,-,0,-,-,-,-
,Worst,Ontario,0,-,2104,-,-,-,-,0,-,-,-,-,-,0,-,-,-,-
,Random,Ontario,0,-,-,-,-,-,-,0,-,-,-,-,-,0,-,-,-,-
,BaseLine,Virtuoso,176830,3161,2104,65,350,1,62,23640,359113,1,650,65,1325,11170,4949,2080,4275,624
